Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
Poland,77328,757,2270,17,63312,587,11746,83,2044,60,3081867,81450,37837337,Europe,489,16668,12
Belarus,75230,243,773,2,73098,131,1359,0,7962,82,1700790,180004,9448629,Europe,126,12223,6
Honduras,70120,460,2122,20,20677,694,47321,20,7055,214,165904,16693,9938656,North America,142,4684,60
Ethiopia,67515,602,1072,12,27638,553,38805,289,584,9,1184473,10249,115567112,Africa,1712,107805,98
Portugal,67176,780,1894,6,45053,259,20229,57,6592,186,2345680,230194,10190035,Europe,152,5380,4
Venezuela,65174,890,530,10,54218,1654,10426,146,2293,19,1897741,66780,28417855,South America,436,53619,15
Bahrain,63879,690,220,3,56700,613,6959,43,37273,128,1313471,766400,1713820,Asia,27,7790,1
Costa Rica,62374,1556,686,20,23160,498,38528,245,12220,134,196377,38473,5104317,North America,82,7441,26
Nepal,61593,2020,390,7,43820,871,17383,0,2106,13,894373,30577,29249569,Asia,475,74999,33
Singapore,57543,11,27,0,57071,32,445,0,9819,5,2498073,426259,5860456,Asia,102,217054,2
Nigeria,56956,221,1094,1,48305,213,7557,7,275,5,482321,2328,207222376,Africa,3638,189417,430
Uzbekistan,50253,626,419,6,46527,557,3307,243,1497,12,1377915,41041,33574364,Asia,668,80130,24
Algeria,49413,219,1659,5,34818,143,12936,31,1122,38,0,0,44021396,Africa,891,26535,0
Switzerland,49283,488,2045,3,40500,600,6738,29,5685,236,1251614,144386,8668550,Europe,176,4239,7
Armenia,46910,239,926,1,42369,138,3615,0,15824,312,255927,86331,2964475,Asia,63,3201,12
Czechia,46262,2107,495,6,23858,481,21909,91,4318,46,1148880,107238,10713401,Europe,232,21643,9
Ghana,45760,46,295,1,44973,77,492,6,1466,9,464420,14880,31211616,Africa,682,105802,67
Moldova,45648,665,1186,16,33734,495,10728,549,11322,294,246764,61203,4031861,Europe,88,3400,16
Kyrgyzstan,45244,91,1063,0,41415,98,2766,24,6910,162,267718,40889,6547431,Asia,145,6159,24
Azerbaijan,38894,117,572,1,36424,135,1898,0,3828,56,1041184,102487,10159219,Asia,261,17761,10
Afghanistan,38883,11,1437,1,32576,71,4870,93,994,37,107968,2760,39115100,Asia,1006,27220,362
Kenya,36724,148,646,4,23709,98,12369,44,680,12,504988,9347,54023881,Africa,1471,83628,107
Austria,36661,808,763,5,28451,407,7447,62,4065,85,1413965,156798,9017743,Europe,246,11819,6
Palestine,34401,558,250,6,23333,273,10818,0,6710,49,359873,70197,5126634,Asia,149,20507,14
Serbia,32757,62,739,1,31411,0,607,20,3752,85,1063667,121848,8729454,Europe,266,11813,8
Ireland,32271,248,1792,3,23364,0,7115,14,6520,362,1030817,208253,4949828,Europe,153,2762,5
Paraguay,32127,1014,611,27,16921,608,14595,143,4492,85,245271,34296,7151622,South America,223,11705,29
Oceania,30355,48,872,5,26726,63,2757,24,0,0,0,0,0,Australia/Oceania,0,0,0
Lebanon,27518,750,281,18,10739,522,16498,121,4036,41,700966,102803,6818563,Asia,248,24265,10
El Salvador,27346,97,804,3,20825,433,5717,93,4211,124,359765,55404,6493440,North America,237,8076,18
Australia,26861,48,837,5,23855,63,2169,15,1051,33,7224163,282587,25564421,Australia/Oceania,952,30543,4
Libya,26438,616,418,13,14207,299,11813,0,3836,61,176378,25593,6891588,Africa,261,16487,39
Bosnia and Herzegovina,24897,292,752,5,17365,146,6780,0,7599,230,220278,67236,3276210,Europe,132,4357,15
S. Korea,22783,126,377,5,19771,228,2635,150,444,7,2206365,43027,51279019,Asia,2251,136019,23
Denmark,21847,454,635,0,17110,192,4102,3,3769,110,3246363,560034,5796725,Europe,265,9129,2
Cameroon,20371,68,416,1,19124,287,831,30,763,16,149000,5583,26685869,Africa,1310,64149,179
Ivory Coast,19200,42,120,0,18392,62,688,0,724,5,148957,5617,26516714,Africa,1381,220973,178
Bulgaria,18733,189,753,4,13510,119,4470,34,2701,109,488865,70476,6936602,Europe,370,9212,14
North Macedonia,16417,143,683,8,13732,97,2002,4,7880,328,172700,82895,2083355,Europe,127,3050,12
Hungary,16111,941,669,6,4240,13,11202,29,1669,69,591618,61277,9654848,Europe,599,14432,16
Madagascar,15971,46,217,1,14587,40,1167,30,574,8,66460,2387,27841568,Africa,1743,128302,419
Greece,14738,338,327,2,3804,0,10607,71,1416,31,1181712,113500,10411582,Europe,706,31840,9
Senegal,14645,27,301,1,11051,128,3293,29,870,18,163965,9738,16837104,Africa,1150,55937,103
Croatia,14513,234,244,6,12169,236,2100,21,3540,60,249023,60744,4099549,Europe,282,16801,16
Zambia,14022,94,329,3,13207,178,486,0,758,18,137017,7409,18492263,Africa,1319,56207,135
