#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Recovered
146,Burkina Faso,1228,15,54 ,0,997,2,177,0,59,3,0,0,20964283 ,Africa,17072,388227,0,0
147,Botswana,1214,148,3 ,1,120,40,1091,1,515,1,87280,37032,2356855 ,Africa,1941,785618,27,1
148,Niger,1161,0,69 ,0,1075,0,17,0,48,3,9052,373,24295885 ,Africa,20927,352114,2684,0
149,Togo,1104,12,26 ,0,791,9,287,2,133,3,50884,6131,8299771 ,Africa,7518,319222,163,0
15,Bangladesh,269115,2617,3557 ,44,154871,1782,110687,0,1632,22,1315901,7981,164878278 ,Asia,613,46353,125,27
150,Jamaica,1065,18,14 ,0,753,0,298,1,359,5,44925,15164,2962689 ,North America,2782,211621,66,0
151,Bahamas,1036,0,15 ,0,122,0,899,1,2632,38,7096,18025,393677 ,North America,380,26245,55,0
152,Andorra,981,4,53 ,0,858,3,70,1,12694,686,3750,48525,77280 ,Europe,79,1458,21,0
153,Chad,949,0,76 ,0,860,1,13,0,58,5,0,0,16475724 ,Africa,17361,216786,0,-1
154,Vietnam,905,22,20 ,3,421,12,464,0,9,0.2,621823,6382,97439813 ,Asia,107668,4871991,157,3
155,Aruba,894,96,4 ,1,114,0,776,0,8369,37,14047,131503,106819 ,North America,119,26705,8,0
156,Lesotho,884,86,25 ,1,271,96,588,0,412,12,11097,5175,2144221 ,Africa,2426,85769,193,1
157,Sao Tome and Principe,882,0,15 ,0,807,0,60,0,4016,68,3190,14526,219610 ,Africa,249,14641,69,0
158,Réunion,754,20,5 ,0,631,0,118,4,841,6,35419,39528,896056 ,Africa,1188,179211,25,0
159,Diamond Princess,712,0,13 ,0,651,0,48,4,0,0,0,0, ,0,0,0,0,0
16,Argentina,268574,0,5246 ,33,192434,5151,70894,1585,5936,116,911596,20149,45243676 ,South America,168,8624,50,-176
160,San Marino,699,0,42 ,0,657,0,0,0,20596,1238,6068,178791,33939 ,Europe,49,808,6,0
161,Guyana,631,8,22 ,0,202,11,407,5,802,28,5638,7164,786998 ,South America,1247,35773,140,0
162,Channel Islands,603,0,47 ,0,545,0,11,0,3465,270,52055,299084,174048 ,Europe,289,3703,3,0
163,Tanzania,509,0,21  ,0,183,0,305,7,8,0.4,0,0,59914387 ,Africa,117710,2853066,0,0
164,Taiwan,481,0,7 ,0,450,0,24,0,20,0.3,83828,3519,23821903 ,Asia,49526,3403129,284,0
165,Burundi,410,1,1 ,0,315,0,94,0,34,0.08,17306,1451,11928046 ,Africa,29093,11928046,689,0
166,Trinidad and Tobago,404,78,8 ,0,139,0,257,0,289,6,12430,8878,1400024 ,North America,3465,175003,113,0
167,Comoros,399,0,7 ,0,379,0,13,0,458,8,0,0,871630 ,Africa,2185,124519,0,0
168,Myanmar,369,8,6 ,0,321,3,42,0,7,0.1,130539,2397,54452359 ,Asia,147567,9075393,417,0
169,Guadeloupe,367,0,14 ,0,289,0,64,4,917,35,21269,53155,400132 ,North America,1090,28581,19,0
17,Italy,252235,522,35231 ,6,202923,226,14081,55,4173,583,7420764,122756,60451116 ,Europe,240,1716,8,-36
170,Faeroe Islands,362,23, ,0,225,0,137,0,7405,0,65948,1349044,48885 ,Europe,135,0,1,0
171,Mauritius,344,0,10 ,0,334,0,0,0,270,8,205285,161385,1272019 ,Africa,3698,127202,6,0
172,Isle of Man,336,0,24 ,0,312,0,0,0,3949,282,8958,105282,85086 ,Europe,253,3545,9,0
173,Martinique,336,0,16 ,0,98,0,222,2,895,43,12227,32585,375230 ,North America,1117,23452,31,0
174,Mongolia,297,4, ,0,269,0,28,1,90,0,42071,12810,3284210 ,Asia,11058,0,78,0
175,Belize,296,86,2 ,0,32,0,262,3,743,5,4516,11334,398430 ,North America,1346,199215,88,0
176,Papua New Guinea,287,0,3 ,0,78,0,206,0,32,0.3,11920,1329,8965791 ,Australia/Oceania,31240,2988597,752,0
177,Eritrea,285,0, ,0,248,0,37,0,80,0,0,0,3551980 ,Africa,12463,0,0,0
178,Cambodia,272,4, ,0,223,3,49,1,16,0,75976,4537,16745169 ,Asia,61563,0,220,0
179,Sint Maarten,248,29,17 ,0,102,0,129,3,5777,396,1537,35801,42932 ,North America,173,2525,28,0
18,Turkey,245635,1243,5912 ,21,228057,968,11666,647,2909,70,5521880,65392,84443200 ,Asia,344,14283,15,11
180,Turks and Caicos,241,17,2 ,0,46,7,193,3,6215,52,1567,40412,38776 ,North America,161,19388,25,0
181,Gibraltar,205,2, ,0,188,1,17,0,6085,0,26053,773316,33690 ,Europe,164,0,1,0
182,Cayman Islands,203,0,1 ,0,202,0,0,0,3085,15,31881,484440,65810 ,North America,324,65810,2,0
183,Bermuda,159,0,9 ,0,145,0,5,0,2554,145,30213,485349,62250 ,North America,392,6917,2,0
184,Barbados,144,0,7 ,0,115,0,22,0,501,24,13489,46932,287417 ,North America,1996,41060,21,0
185,Monaco,144,3,4 ,0,114,0,26,4,3667,102,38209,972883,39274 ,Europe,273,9819,1,0
186,Brunei ,142,0,3 ,0,138,0,1,0,324,7,43312,98894,437962 ,Asia,3084,145987,10,0
187,French Polynesia,139,0, ,0,64,0,75,1,494,0,6525,23213,281098 ,Australia/Oceania,2022,0,43,0
188,Bhutan,128,12, ,0,100,3,28,0,166,0,56207,72752,772582 ,Asia,6036,0,14,0
189,Seychelles,127,0, ,0,126,0,1,0,1290,0,0,0,98418 ,Africa,775,0,0,0
19,Germany,222269,1419,9281 ,5,200800,900,12188,224,2652,111,8586648,102447,83815640 ,Europe,377,9031,10,-13
190,Saint Martin,92,8,4 ,0,45,1,43,1,2375,103,1899,49019,38740 ,North America,421,9685,20,0
191,Antigua and Barbuda,92,0,3 ,0,76,0,13,1,939,31,1734,17690,98023 ,North America,1065,32674,57,0
192,Liechtenstein,90,0,1 ,0,87,0,2,0,2360,26,900,23597,38141 ,Europe,424,38141,42,0
193,St. Vincent Grenadines,57,0, ,0,52,0,5,0,514,0,2529,22787,110982 ,North America,1947,0,44,0
194,Macao,46,0, ,0,46,0,0,0,71,0,4071,6260,650338 ,Asia,14138,0,160,0
195,Curaçao,32,0,1 ,0,30,0,1,0,195,6,1080,6578,164172 ,North America,5130,164172,152,0
196,Fiji,28,1,1 ,0,20,2,7,0,31,1,6693,7460,897201 ,Australia/Oceania,32043,897201,134,0
197,Saint Lucia,25,0, ,0,25,0,0,0,136,0,4274,23263,183726 ,North America,7349,0,43,0
198,Timor-Leste,25,0, ,0,24,0,1,0,19,0,4238,3208,1321224 ,Asia,52849,0,312,0
199,Grenada,24,0, ,0,23,0,1,0,213,0,6252,55532,112584 ,North America,4691,0,18,0
2,Brazil,3224876,54402,105463 ,1200,2356640,47163,762773,8318,15159,496,13464336,63291,212735424 ,South America,66,2017,16,-186
20,France,209365,2669,30388 ,17,83472,0,95505,379,3207,465,5500000,84239,65290667 ,Europe,312,2149,12,9
200,New Caledonia,23,0, ,0,22,0,1,0,80,0,11265,39414,285814 ,Australia/Oceania,12427,0,25,0
201,Laos,20,0, ,0,19,0,1,0,3,0,32502,4460,7287482 ,Asia,364374,0,224,0
202,Dominica,18,0, ,0,18,0,0,0,250,0,1005,13957,72007 ,North America,4000,0,72,0
203,Saint Kitts and Nevis,17,0, ,0,17,0,0,0,319,0,1294,24304,53243 ,North America,3132,0,41,0
204,Greenland,14,0, ,0,14,0,0,0,247,0,6231,109735,56782 ,North America,4056,0,9,0
205,Montserrat,13,0,1 ,0,12,0,0,0,2604,200,61,12220,4992 ,North America,384,4992,82,0
206,Caribbean Netherlands,13,0, ,0,7,0,6,0,495,0,424,16152,26251 ,North America,2019,0,62,0
207,Falkland Islands,13,0, ,0,13,0,0,0,3724,0,2256,646233,3491 ,South America,269,0,2,0
208,St. Barth,13,0, ,0,8,2,5,0,1316,0,1612,163141,9881 ,North America,760,0,6,0
209,Vatican City,12,0, ,0,12,0,0,0,14981,0,0,0,801 ,Europe,67,0,0,0
21,Iraq,164277,3841,5641 ,53,117208,2667,41428,592,4074,140,1224909,30379,40320858 ,Asia,245,7148,33,36
210,Western Sahara,10,0,1 ,0,8,0,1,0,17,2,0,0,598924 ,Africa,59892,598924,0,0
211,MS Zaandam,9,0,2 ,0,0,0,7,0,0,0,0,0, ,0,0,0,0,0
212,British Virgin Islands,9,0,1 ,0,7,0,1,0,297,33,1522,50307,30254 ,North America,3362,30254,20,0
213,Saint Pierre Miquelon,4,0, ,0,1,0,3,0,691,0,0,0,5791 ,North America,1448,0,0,0
214,Anguilla,3,0, ,0,3,0,0,0,200,0,537,35757,15018 ,North America,5006,0,28,0
215,China,84756,19,4634 ,0,79398,56,724,41,59,3,90410000,62814,1439323776 ,Asia,16982,310601,16,0
22,Philippines,147526,4002,2426 ,23,70387,1403,74713,389,1344,22,1939426,17672,109746632 ,Asia,744,45238,57,-34
23,Indonesia,132816,2098,5968 ,65,87558,1760,39290,0,485,22,1809487,6607,273855751 ,Asia,2062,45887,151,-27
24,Canada,121028,184,9012 ,6,107419,271,4597,2292,3203,239,4581083,121255,37780440 ,North America,312,4192,8,-73
25,Qatar,114281,343,190 ,0,110957,330,3134,74,40701,68,538602,191823,2807805 ,Asia,25,14778,5,-15
26,Kazakhstan,101372,517,1269 ,0,76756,2079,23347,221,5391,67,2252153,119780,18802348 ,Asia,185,14817,8,-2
27,Ecuador,98343,1233,6010 ,26,78957,70,13376,355,5565,340,276491,15645,17673219 ,South America,180,2941,64,26
28,Egypt,96108,145,5107 ,22,56890,989,34111,41,937,50,135000,1316,102548214 ,Africa,1067,20080,760,-11
29,Bolivia,95071,1743,3827 ,66,32830,1077,58414,71,8132,327,202932,17358,11691069 ,South America,123,3055,58,40
3,India,2459613,64142,48144 ,1006,1750636,54776,660833,8944,1780,35,26845688,19431,1381567238 ,Asia,562,28697,51,-158
30,Israel,89822,1671,651 ,12,64746,2637,24425,371,9766,71,2024299,220090,9197590 ,Asia,102,14128,5,-37
31,Ukraine,86140,1592,1992 ,22,46216,530,37932,123,1971,46,1233925,28235,43701573 ,Europe,507,21939,35,5
32,Sweden,83852,0,5776 ,6,N/A,N/A,N/A,30,8297,572,917036,90736,10106627 ,Europe,121,1750,11,-13
33,Dominican Republic,83134,910,1393 ,22,47946,851,33795,303,7655,128,308187,28377,10860430 ,North America,131,7796,35,22
34,Oman,82531,232,551 ,12,77278,206,4702,155,16118,108,309212,60386,5120582 ,Asia,62,9293,17,6
35,Panama,77377,0,1703 ,0,51597,0,24077,162,17901,394,258224,59741,4322396 ,North America,56,2538,17,-25
36,Belgium,75647,639,9900 ,15,17883,42,47864,76,6524,854,1912240,164911,11595564 ,Europe,153,1171,6,-8
37,Kuwait,74486,701,489 ,0,66099,648,7898,118,17413,114,548005,128108,4277694 ,Asia,57,8748,8,-6
38,Belarus,69203,101,599 ,4,66178,285,2426,0,7324,63,1392662,147388,9448950 ,Europe,137,15775,7,1
39,Romania,66631,1454,2860 ,53,31547,499,32224,478,3466,149,1450269,75449,19221931 ,Europe,288,6721,13,50
4,Russia,907758,5057,15384 ,124,716396,6098,175978,2300,6220,105,31598302,216513,145941946 ,Europe,161,9487,5,-826
40,UAE,63489,277,358 ,0,57372,179,5759,0,6410,36,5769109,582501,9904037 ,Asia,156,27665,2,-43
41,Netherlands,61204,577,6165 ,4,N/A,N/A,N/A,49,3571,360,1195475,69750,17139375 ,Europe,280,2780,14,4
42,Guatemala,60284,1195,2296 ,29,48305,911,9683,5,3358,128,193147,10759,17952340 ,North America,298,7819,93,27
43,Singapore,55497,102,27 ,0,50736,216,4734,0,9477,5,1610906,275101,5855685 ,Asia,106,216877,4,-34
44,Poland,54487,811,1844 ,14,37961,350,14682,82,1440,49,2307735,60984,37841625 ,Europe,695,20521,16,14
45,Portugal,53548,325,1770 ,6,39177,237,12601,39,5253,174,1783267,174948,10193108 ,Europe,190,5759,6,-3
46,Japan,51147,937,1063 ,4,36134,1246,13950,203,405,8,1085322,8584,126429540 ,Asia,2472,118937,116,1
47,Honduras,48657,254,1533 ,18,6945,140,40179,46,4904,155,119321,12026,9922288 ,North America,204,6472,83,11
48,Nigeria,48116,373,966 ,10,34309,366,12841,7,233,5,341421,1652,206690310 ,Africa,4296,213965,605,1
49,Bahrain,45726,462,167 ,1,42180,344,3379,40,26777,98,944798,553276,1707644 ,Asia,37,10225,2,1
5,South Africa,572865,3946,11270 ,260,437617,5588,123978,539,9645,190,3315497,55822,59393824 ,Africa,104,5270,18,131
50,Ghana,41725,153,223 ,0,39495,175,2007,6,1340,7,416988,13389,31144138 ,Africa,746,139660,75,-1
51,Kyrgyzstan,41069,310,1487 ,3,33288,291,6294,24,6283,228,267718,40959,6536245 ,Asia,159,4396,24,-5
52,Armenia,41023,229,809 ,3,33897,405,6317,0,13841,273,180497,60898,2963902 ,Asia,72,3664,16,0
53,Morocco,37935,1241,584 ,28,26687,1010,10664,31,1026,16,1538520,41626,36960529 ,Africa,974,63289,24,22
54,Afghanistan,37424,79,1363 ,9,26714,20,9347,31,959,35,97778,2506,39023854 ,Asia,1043,28631,399,-1
55,Switzerland,37403,234,1991 ,0,32700,0,2712,25,4318,230,861555,99464,8661989 ,Europe,232,4351,10,-1
56,Algeria,37187,488,1341 ,8,26004,377,9842,44,846,31,0,0,43939076 ,Africa,1182,32766,0,-3
57,Azerbaijan,33915,91,500 ,3,31269,211,2146,0,3341,49,812033,80005,10149740 ,Asia,299,20299,12,-20
58,Uzbekistan,33323,858,216 ,6,27213,2107,5894,410,994,6,1377915,41102,33523982 ,Asia,1006,155204,24,4
59,Venezuela,29088,0,247 ,0,21042,0,7799,81,1023,9,1611225,56681,28426184 ,South America,977,115086,18,-6
6,Peru,498555,0,21713 ,0,341938,0,134904,1501,15097,657,2643464,80047,33023850 ,South America,66,1521,12,-259
60,Moldova,29087,390,878 ,15,20276,278,7933,362,7213,218,128076,31758,4032830 ,Europe,139,4593,31,6
61,Serbia,28998,247,661 ,3,18965,0,9372,78,3320,76,780097,89327,8733091 ,Europe,301,13212,11,-3
62,Kenya,28754,650,460 ,4,15100,490,13194,44,533,9,375859,6973,53900622 ,Africa,1875,117175,143,-2
63,Ireland,26929,91,1774 ,0,23364,0,1791,6,5447,359,687699,139095,4944104 ,Europe,184,2787,7,-18
64,Ethiopia,26204,1086,479 ,16,11428,394,14297,193,227,4,550119,4772,115270560 ,Africa,4399,240648,210,15
65,Costa Rica,26129,1072,272 ,9,8412,223,17445,95,5124,53,108819,21339,5099492 ,North America,195,18748,47,-14
66,Nepal,24957,525,95 ,4,16837,109,8025,0,855,3,795440,27246,29195088 ,Asia,1170,307317,37,-4
67,Austria,22594,155,725 ,1,20346,78,1523,22,2507,80,991508,110016,9012418 ,Europe,399,12431,9,-7
68,Australia,22358,231,361 ,9,13001,222,8996,51,876,14,5108507,200069,25533713 ,Australia/Oceania,1142,70731,5,8
69,El Salvador,21993,349,584 ,7,10254,198,11155,450,3389,90,271057,41765,6490049 ,North America,295,11113,24,-14
7,Mexico,498380,5858,54666 ,737,336635,3835,107079,3775,3861,423,1127115,8731,129088353 ,North America,259,2361,115,525
70,Czechia,19286,211,391 ,0,13572,165,5323,24,1801,37,775991,72446,10711344 ,Europe,555,27395,14,-7
71,Cameroon,18308,45,401 ,0,15320,0,2587,30,688,15,149000,5598,26617053 ,Africa,1454,66377,179,0
72,Ivory Coast,16889,42,107 ,2,13522,201,3260,0,639,4,111132,4202,26448690 ,Africa,1566,247184,238,-1
73,Palestine,15491,307,106 ,1,9186,817,6199,0,3029,21,214862,42012,5114289 ,Asia,330,48248,24,1
74,Denmark,15214,144,621 ,0,13131,65,1462,1,2626,107,1836246,316889,5794612 ,Europe,381,9331,3,-1
75,Bosnia and Herzegovina,15184,223,458 ,5,9156,329,5570,0,4632,140,157586,48069,3278317 ,Europe,216,7158,21,5
76,S. Korea,14770,56,305 ,0,13817,31,648,15,288,6,1654898,32275,51274453 ,Asia,3472,168113,31,-6
77,Bulgaria,13893,0,482 ,0,8479,0,4932,63,2001,69,318974,45948,6942002 ,Europe,500,14402,22,0
78,Madagascar,13522,125,162 ,6,11780,251,1580,85,487,6,50493,1818,27767416 ,Africa,2053,171404,550,-5
79,North Macedonia,12357,140,532 ,2,8662,175,3163,6,5931,255,120950,58055,2083364 ,Europe,169,3916,17,-2
8,Colombia,433805,11286,14145 ,308,250494,10709,169166,1493,8515,278,2063332,40501,50945148 ,South America,117,3602,25,-618
80,Sudan,12115,82,792 ,6,6305,23,5018,0,276,18,401,9,43960364 ,Africa,3629,55506,109627,5
81,Senegal,11740,153,244 ,2,7572,49,3924,51,699,15,125554,7477,16791135 ,Africa,1430,68816,134,2
82,Norway,9851,68,257 ,1,8857,0,737,2,1815,47,508770,93762,5426165 ,Europe,551,21113,11,-3
83,DRC,9589,51,234 ,9,8480,59,875,0,107,3,0,0,89847021 ,Africa,9370,383962,0,9
84,Malaysia,9129,15,125 ,0,8821,4,183,2,282,4,1085040,33475,32413170 ,Asia,3551,259305,30,0
85,Zambia,8663,162,246 ,0,7401,168,1016,0,470,13,96610,5240,18438601 ,Africa,2128,74954,191,0
86,French Guiana,8471,48,51 ,1,7784,71,636,17,28283,170,43758,146098,299512 ,South America,35,5873,7,-4
87,Guinea,8198,82,50 ,0,7120,60,1028,24,622,4,14407,1094,13170766 ,Africa,1607,263415,914,-1
88,Gabon,8077,0,51 ,0,5920,0,2106,9,3620,23,96203,43113,2231427 ,Africa,276,43753,23,0
89,Paraguay,8018,0,93 ,0,5384,0,2541,35,1123,13,144517,20233,7142527 ,South America,891,76801,49,0
9,Chile,380034,1866,10299 ,94,353131,1712,16604,1259,19860,538,1932592,100997,19135201 ,South America,50,1858,10,-268
90,Tajikistan,7950,38,63 ,0,6741,45,1146,0,832,7,0,0,9560989 ,Asia,1203,151762,0,-7
91,Haiti,7781,38,192 ,5,5123,0,2466,0,681,17,18933,1658,11418382 ,North America,1467,59471,603,5
92,Lebanon,7711,298,92 ,3,2496,89,5123,44,1130,13,392839,57586,6821721 ,Asia,885,74149,17,-1
93,Finland,7683,41,333 ,0,7050,0,300,1,1386,60,440588,79503,5541745 ,Europe,721,16642,13,0
94,Luxembourg,7368,68,122 ,0,6414,152,832,1,11749,195,667333,1064125,627119 ,Europe,85,5140,1,-2
95,Albania,6971,154,213 ,5,3616,64,3142,20,2423,74,42854,14893,2877419 ,Europe,413,13509,67,5
96,Mauritania,6653,31,157 ,0,5843,102,653,3,1427,34,58147,12471,4662738 ,Africa,701,29699,80,-3
97,Libya,6611,0,132 ,0,778,0,5701,0,961,19,68201,9910,6881885 ,Africa,1041,52135,101,0
98,Greece,6381,204,221 ,5,3804,0,2356,22,613,21,687338,65983,10416842 ,Europe,1632,47135,15,5
99,Croatia,6050,180,161 ,1,5078,54,811,10,1475,39,133493,32542,4102164 ,Europe,678,25479,31,-1
